Symbol;DT;Quantity;Entry;Exit;ProfitLoss
NQ;2026-07-16;1;29614;29617.75;75
NQ;2026-07-20;1;28946.25;28946.5;5
NQ;2026-07-20;1;28936.75;28922.75;-280
NQ;2026-07-20;-1;28916.5;28896.75;395
MNQ;2026-07-20;-1;28918.5;28877.75;81.5
MNQ;2026-07-20;1;28892;28883.75;-16.5
MNQ;2026-07-20;1;28862;28847.75;-28.5
MNQ;2026-07-20;1;28854;28845.25;-17.5
MNQ;2026-07-20;1;28845;28836.25;-17.5
MNQ;2026-07-20;-1;28858.75;28865.75;-14
MNQ;2026-07-20;1;28862.25;28862.75;1
MNQ;2026-07-20;1;28865.5;28863;-5
MNQ;2026-07-20;-1;28857.5;28887.75;-60.5
MNQ;2026-07-20;-1;28879.25;28890.25;-22
MNQ;2026-07-20;-1;28881.75;28890;-16.5
MNQ;2026-07-20;-1;28886;28891.25;-10.5
MNQ;2026-07-20;-1;28876.25;28874;4.5
MNQ;2026-07-20;-1;28873.75;28873.75;-0
MNQ;2026-07-20;-1;28897;28896.25;1.5
MNQ;2026-07-20;1;28892;28905;26
MNQ;2026-07-20;-1;28889.25;28904.5;-30.5
MNQ;2026-07-20;-1;28895.5;28904.25;-17.5
MNQ;2026-07-20;-2;28912;28918.5;-26
MNQ;2026-07-20;-2;28915.25;28918;-11
MNQ;2026-07-20;-1;28910.5;28923.25;-25.5
MNQ;2026-07-20;-1;28915.25;28923.25;-16
MNQ;2026-07-20;-2;28925.5;28925.5;-0
MNQ;2026-07-20;2;28931.75;28931.75;0
MNQ;2026-07-20;-1;29006.5;28999;15
MNQ;2026-07-20;-1;28989;29001;-24
MNQ;2026-07-20;-1;28996.5;29001;-9
MNQ;2026-07-20;1;29075.75;29087.25;23
MNQ;2026-07-20;1;29104.75;29085.75;-38
MNQ;2026-07-20;1;29096.25;29091;-10.5
MNQ;2026-07-20;1;29076.25;29066;-20.5
MNQ;2026-07-20;-1;29065.75;29064.25;3
MNQ;2026-07-20;-1;29073.25;29083.75;-21
MNQ;2026-07-20;1;28998;28999;2
MNQ;2026-07-20;-1;29013;29018;-10
NQ;2026-07-20;1;29000;29000.75;15
NQ;2026-07-20;1;29007.75;29028.75;420
NQ;2026-07-20;1;29129.75;29101.5;-565
NQ;2026-07-20;-1;29105;29084.5;410
NQ;2026-07-20;-1;29039.5;29051.25;-235
NQ;2026-07-20;1;29056.25;29031;-505
NQ;2026-07-20;1;29032.25;29049.75;350
NQ;2026-07-20;1;29069;29048.5;-410
NQ;2026-07-20;1;29061;29057.5;-70
NQ;2026-07-20;1;29053.75;29048.5;-105
NQ;2026-07-20;1;29046;29042.25;-75
NQ;2026-07-20;1;29003.75;28994.75;-180
NQ;2026-07-20;-1;29002;29000;40
NQ;2026-07-20;1;28997.25;28992.75;-90
NQ;2026-07-20;1;28988;28988.75;15
NQ;2026-07-20;1;28979.5;28972;-150
NQ;2026-07-20;1;29004;29005.75;35
NQ;2026-07-20;1;29022.25;29030;155
NQ;2026-07-20;1;29018.75;29011;-155
NQ;2026-07-20;-1;29021;29009.25;235
NQ;2026-07-20;1;29009.75;28999;-215
NQ;2026-07-20;1;28998;29000;40
NQ;2026-07-20;1;28968.25;28957.5;-215
NQ;2026-07-20;1;28988.75;28989.5;15
NQ;2026-07-20;1;28961;28962.25;25
NQ;2026-07-20;-1;28973.75;28949.5;485
NQ;2026-07-20;1;28916.75;28925.25;170
NQ;2026-07-20;1;28969;28969.75;15
NQ;2026-07-20;-1;28987.5;29004.25;-335
NQ;2026-07-20;1;29004;28989;-300
NQ;2026-07-20;1;28992.25;28989;-65
NQ;2026-07-20;1;29009.5;29036.5;540
NQ;2026-07-20;1;29043;29031.75;-225
NQ;2026-07-20;1;29024.75;29020;-95
NQ;2026-07-20;1;29013.75;29020;125
NQ;2026-07-20;-1;29013.5;28998.5;300
NQ;2026-07-20;-1;28987.5;28991.5;-80
NQ;2026-07-20;-1;29002.5;29005.25;-55
NQ;2026-07-20;-1;29009.75;29005;95
NQ;2026-07-20;-1;29005.5;29020;-290
NQ;2026-07-20;-1;29014.75;29020;-105
NQ;2026-07-20;-1;28992.5;28986.5;120
NQ;2026-07-20;1;28986.5;28984.25;-45
NQ;2026-07-20;1;28981.5;28984.25;55
NQ;2026-07-20;-1;29007;28995;240
NQ;2026-07-20;-1;29014;28995;380
NQ;2026-07-20;-1;28941.25;28968.25;-540
NQ;2026-07-20;-1;28954.75;28958.5;-75
NQ;2026-07-20;-1;28975.5;29002.75;-545
NQ;2026-07-20;-1;28989;29002.75;-275
NQ;2026-07-20;-1;28980.75;28964;335
NQ;2026-07-20;-1;28944.75;28927;355
NQ;2026-07-20;1;28935.75;28920;-315
NQ;2026-07-20;1;28928.75;28928.5;-5
NQ;2026-07-20;1;28915.75;28900;-315
NQ;2026-07-20;1;28905.75;28900;-115
NQ;2026-07-20;1;28906.75;28907.25;10
NQ;2026-07-20;-1;28893.75;28893.75;-0
NQ;2026-07-20;-1;28903.25;28922;-375
NQ;2026-07-20;1;28926.25;28953.25;540
NQ;2026-07-20;2;28920.25;28915.75;-180
NQ;2026-07-20;1;28917;28901.75;-305
NQ;2026-07-20;1;28912.75;28901.75;-220
NQ;2026-07-20;1;28907;28924.75;355
NQ;2026-07-20;1;28900;28924.75;495
NQ;2026-07-20;-1;28946.5;28959.5;-260
NQ;2026-07-20;-1;28953;28959.5;-130
NQ;2026-07-20;1;28974.75;28973.25;-30
NQ;2026-07-20;1;28966;28973.25;145
NQ;2026-07-20;1;28958.5;28973.25;295
NQ;2026-07-20;1;28962;28940.75;-425
NQ;2026-07-20;1;28948.5;28940.75;-155
NQ;2026-07-20;1;28943.75;28944.75;20
NQ;2026-07-20;-1;28948.25;28969.75;-430
NQ;2026-07-20;-1;28960.75;28969.25;-170
NQ;2026-07-20;-1;28983;28995;-240
NQ;2026-07-20;-1;28989.25;28995;-115
NQ;2026-07-20;1;28991.25;28998.75;150
NQ;2026-07-20;1;28982.5;28998.75;325
NQ;2026-07-20;1;28975.5;28998.75;465
NQ;2026-07-20;-1;28997.75;28979.75;360
NQ;2026-07-20;-1;29012.75;28979.75;660
NQ;2026-07-20;1;29023.75;29024.5;15
NQ;2026-07-20;-1;29015.25;29033.75;-370
NQ;2026-07-20;-1;29026;29033.25;-145
NQ;2026-07-20;-3;29016.75;29016.25;30
NQ;2026-07-20;3;29022;28999;-1380
NQ;2026-07-20;3;29006;28999.25;-405
NQ;2026-07-20;-1;28999;29003.5;-90
NQ;2026-07-20;7;28993.25;28981;-1715
NQ;2026-07-20;10;28985;28985.75;150
NQ;2026-07-20;-10;29018.75;29038.25;-3900
NQ;2026-07-20;5;29041.25;29058;1675
NQ;2026-07-20;5;29041.25;29058;1675
NQ;2026-07-20;5;29045;29058;1300
NQ;2026-07-21;-5;29055;29070.5;-1550
NQ;2026-07-21;-5;29060;29070.5;-1050
NQ;2026-07-21;5;29091.5;29098;650
NQ;2026-07-21;5;29084.25;29098;1375
NQ;2026-07-21;-4;29088;29071.5;1320
NQ;2026-07-21;-1;29088;29072.25;315
NQ;2026-07-21;-2;29101.75;29071.5;1210
NQ;2026-07-21;-3;29101.75;29071.5;1815
MNQ;2026-07-21;-1;28971;28975.75;-9.5
MNQ;2026-07-21;1;28980.25;28976;-8.5
MNQ;2026-07-21;1;28975.75;28976;0.5
MNQ;2026-07-21;-1;28976.75;28985.75;-18
MNQ;2026-07-21;-1;28978.75;28985.75;-14
MNQ;2026-07-21;1;28982.25;28989.75;15
MNQ;2026-07-21;-1;28988.25;28995;-13.5
MNQ;2026-07-21;-1;28992;28995;-6
MNQ;2026-07-21;1;29012.5;29038;51
MNQ;2026-07-21;1;29059.5;29066;13
MNQ;2026-07-21;-1;29073.5;29069;9
MNQ;2026-07-21;1;29088.5;29078;-21
MNQ;2026-07-21;1;29081.5;29078;-7
MNQ;2026-07-21;1;29072.75;29073.5;1.5
MNQ;2026-07-21;1;29096.25;29096.25;0
MNQ;2026-07-21;1;29105.5;29109;7
MNQ;2026-07-21;1;29119.75;29140.5;41.5
MNQ;2026-07-21;1;29111.5;29140.5;58
MNQ;2026-07-21;1;29094;29089.75;-8.5
MNQ;2026-07-21;1;29090.75;29114.5;47.5
MNQ;2026-07-21;-1;29107.5;29111;-7
MNQ;2026-07-21;-1;29115.25;29111;8.5
NQ;2026-07-21;-1;29197;29164;660
NQ;2026-07-21;1;29123.75;29123.5;-5
NQ;2026-07-21;1;29149.25;29142.5;-135
NQ;2026-07-21;1;29142.75;29146;65
NQ;2026-07-21;-1;29137.5;29154;-330
NQ;2026-07-21;-1;29147.25;29153.25;-120
NQ;2026-07-21;-1;29158.5;29095.75;1255
NQ;2026-07-21;-1;29154;29095.75;1165
NQ;2026-07-21;1;29146.75;29127.5;-385
NQ;2026-07-21;1;29135.25;29130.75;-90
NQ;2026-07-21;1;29122.25;29153;615
NQ;2026-07-21;-1;29223;29228.25;-105
NQ;2026-07-21;-1;29213.75;29209.5;85
NQ;2026-07-21;-1;29214.5;29225.5;-220
NQ;2026-07-21;-1;29232.5;29242.25;-195
NQ;2026-07-21;-1;29235.25;29242.25;-140
NQ;2026-07-21;1;29258.75;29273.75;300
NQ;2026-07-21;1;29256.25;29273.75;350
NQ;2026-07-21;1;29276.5;29288.5;240
MNQ;2026-07-22;1;29221.5;29218;-7
MNQ;2026-07-22;-1;29225.25;29237.75;-25
MNQ;2026-07-22;-1;29232;29237;-10
MNQ;2026-07-22;-1;29234.5;29237.75;-6.5
MNQ;2026-07-22;-1;29237.5;29240.5;-6
MNQ;2026-07-22;-1;29238.75;29240.5;-3.5
MNQ;2026-07-22;1;29238.75;29232.25;-13
MNQ;2026-07-22;1;29236.25;29232.75;-7
MNQ;2026-07-22;1;29233;29230.75;-4.5
MNQ;2026-07-22;1;29233.5;29230.75;-5.5
MNQ;2026-07-22;-1;29230;29207.75;44.5
MNQ;2026-07-22;-1;29204.5;29211;-13
MNQ;2026-07-22;-1;29207.25;29197.25;20
MNQ;2026-07-22;1;29196.75;29201.75;10
MNQ;2026-07-22;1;29208.5;29203.75;-9.5
MNQ;2026-07-22;1;29205;29200.75;-8.5
MNQ;2026-07-22;1;29194.5;29188;-13
MNQ;2026-07-22;1;29191.75;29188;-7.5
